# Curadoria de nomes, sem tradução automática em runtime. Slug | nome principal PT-BR.
incline-bench-press|Supino inclinado com barra
jumping-jack|Polichinelo
skater-hop|Salto lateral do patinador
lateral-shuffle|Deslocamento lateral
fast-feet|Passos rápidos no lugar
sprawl|Extensão das pernas para trás em apoio de mãos (Sprawl)
seal-jack|Polichinelo com braços à frente
cat-cow-stretch|Mobilidade de coluna em quatro apoios (Gato e vaca)
arm-circles|Círculos com os braços
worlds-greatest-stretch|Alongamento em afundo com rotação de tronco
leg-swings-stretch|Balanço de pernas
torso-twist-stretch|Rotações de tronco em pé
doorway-chest-stretch|Alongamento de peitoral no batente
childs-pose|Postura da criança
kneeling-hip-flexor-stretch|Alongamento de flexores do quadril ajoelhado
hamstring-stretch|Alongamento de posteriores da coxa
standing-quad-stretch|Alongamento de quadríceps em pé
seated-forward-fold-stretch|Flexão do tronco à frente sentado
cross-body-shoulder-stretch|Alongamento de ombro com braço cruzado
wall-calf-stretch|Alongamento de panturrilha na parede
butterfly-stretch|Alongamento de quadril em borboleta
